R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
43,0.244699,-0.013045,1.719143,-0.013331,1.714351,0.575600,0.541281,0.533160,0.899346,43,1.063404,0.940377,0.985071
44,0.258370,-0.012533,1.741389,-0.012383,1.739374,0.597041,0.550995,91.165883,0.900803,44,1.083569,0.922876,0.985978
45,0.263482,-0.012798,1.767159,-0.013031,1.761626,0.618838,0.542106,92.414136,0.891948,45,1.141545,0.876006,0.985278
46,0.254034,-0.013601,1.784823,-0.014204,1.780836,0.581544,0.556184,99.546209,0.896222,46,1.045595,0.956393,0.984478
47,0.240295,-0.013426,1.805832,-0.013830,1.802082,0.582790,0.524980,178.153344,0.897341,47,1.110119,0.900804,0.983743
48,0.238172,-0.013640,1.829226,-0.013834,1.824608,0.586973,0.516634,0.318196,0.889415,48,1.136149,0.880166,0.984482
49,0.250702,-0.014473,1.843738,-0.014573,1.841900,0.565564,0.564398,75.570323,0.909218,49,1.002066,0.997939,0.986086
50,0.261451,-0.014273,1.863787,-0.015163,1.861694,0.610052,0.545674,91.664982,0.905092,50,1.117978,0.894472,0.986863
51,0.260378,-0.014637,1.884374,-0.014891,1.878885,0.606280,0.546817,93.536338,0.901379,51,1.108743,0.901922,0.985786
52,0.248168,-0.015479,1.898450,-0.016658,1.895694,0.568979,0.555342,165.409474,0.906599,52,1.024557,0.976032,0.985812
53,0.238400,-0.015607,1.917696,-0.016662,1.914194,0.587606,0.516573,179.698380,0.903529,53,1.137508,0.879115,0.985983
54,0.242577,-0.016337,1.935120,-0.017149,1.931410,0.578507,0.533889,1.362895,0.903106,54,1.083571,0.922875,0.985033
55,0.255517,-0.016322,1.947297,-0.016432,1.948019,0.586140,0.555045,91.426389,0.895036,55,1.056022,0.946950,0.984523
56,0.261930,-0.016898,1.964661,-0.017728,1.962405,0.613533,0.543573,92.462732,0.905649,56,1.128704,0.885972,0.986420
57,0.255380,-0.017840,1.979761,-0.018610,1.976220,0.586645,0.554271,96.112621,0.904763,57,1.058408,0.944816,0.985729
58,0.242874,-0.018244,1.991136,-0.019136,1.989191,0.578411,0.534631,177.468282,0.903070,58,1.081888,0.924310,0.984732
59,0.238058,-0.018948,2.007796,-0.019750,2.004601,0.586895,0.516455,0.931342,0.902231,59,1.136391,0.879979,0.984986
60,0.248237,-0.019394,2.019566,-0.019598,2.016935,0.568691,0.555776,3.491195,0.902992,60,1.023237,0.977290,0.984255
61,0.258963,-0.020022,2.029980,-0.020126,2.030586,0.601339,0.548314,91.723717,0.901771,61,1.096706,0.911821,0.985924
62,0.260104,-0.020666,2.044164,-0.021553,2.041627,0.605658,0.546802,93.140124,0.904640,62,1.107638,0.902822,0.986113
63,0.249994,-0.021893,2.055141,-0.022722,2.052639,0.567216,0.561166,143.372109,0.903932,63,1.010781,0.989334,0.985161
64,0.239656,-0.022481,2.064716,-0.022698,2.063015,0.584870,0.521722,0.327458,0.901583,64,1.121038,0.892030,0.984992
65,0.241139,-0.023127,2.077534,-0.023139,2.075149,0.580863,0.528572,1.485859,0.904392,65,1.098927,0.909978,0.985542
