R ,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
160,0.553434,-1.722949,1.246122,-1.722949,1.246122,0.889983,0.791761,87.131275,0.873788,160,1.124055,0.889636,0.986794
161,0.564514,-1.738666,1.233229,-1.738666,1.233229,0.919079,0.782046,87.703928,0.880385,161,1.175224,0.850901,0.986710
162,0.569475,-1.754812,1.220312,-1.754812,1.220312,0.921224,0.787082,87.667563,0.880383,162,1.170430,0.854387,0.987260
163,0.562683,-1.771128,1.203853,-1.771128,1.203853,0.891613,0.803522,88.251236,0.886314,163,1.109631,0.901201,0.987309
164,0.544578,-1.786519,1.180950,-1.786519,1.180950,0.837267,0.828145,83.467828,0.892929,164,1.011015,0.989105,0.987183
165,0.527100,-1.802017,1.156808,-1.802017,1.156808,0.851328,0.788326,1.635410,0.877913,165,1.079919,0.925996,0.986528
166,0.519032,-1.817513,1.135382,-1.817513,1.135382,0.855579,0.772404,3.111836,0.891866,166,1.107684,0.902784,0.987409
167,0.520632,-1.832661,1.113211,-1.832661,1.113211,0.842251,0.787045,6.549381,0.884911,167,1.070144,0.934454,0.986515
168,0.534726,-1.846473,1.084116,-1.846473,1.084116,0.838866,0.811613,77.138189,0.877082,168,1.033579,0.967512,0.986275
169,0.552344,-1.860314,1.052591,-1.860314,1.052591,0.890858,0.789426,86.326667,0.894691,169,1.128489,0.886141,0.987463
170,0.563842,-1.873679,1.021510,-1.873679,1.021510,0.919223,0.780992,87.628432,0.886065,170,1.176995,0.849621,0.987696
171,0.567227,-1.887618,0.990196,-1.887618,0.990196,0.917883,0.786828,87.751493,0.888874,171,1.166561,0.857220,0.988287
172,0.557235,-1.901381,0.955838,-1.901381,0.955838,0.884319,0.802305,86.652166,0.882712,172,1.102223,0.907258,0.986498
173,0.540035,-1.915190,0.915358,-1.915190,0.915358,0.833907,0.824545,60.850963,0.881140,173,1.011354,0.988774,0.986325
174,0.522440,-1.929397,0.873103,-1.929397,0.873103,0.843649,0.788469,5.127702,0.866894,174,1.069984,0.934594,0.985698
175,0.513840,-1.942392,0.829903,-1.942392,0.829903,0.848482,0.771073,5.794707,0.839984,175,1.100391,0.908768,0.984434
176,0.515393,-1.954829,0.785697,-1.954811,0.785696,0.834488,0.786373,8.658894,0.860484,176,1.061185,0.942343,0.983979
177,0.529997,-1.966276,0.736460,-1.966276,0.736460,0.834945,0.808213,72.052765,0.849036,177,1.033077,0.967982,0.985325
178,0.547731,-1.977178,0.682496,-1.977178,0.682496,0.885561,0.787515,86.586770,0.865501,178,1.124501,0.889283,0.984028
179,0.562498,-1.988263,0.626385,-1.988276,0.626202,0.919702,0.778724,87.777843,0.851142,179,1.181037,0.846713,0.985061
180,0.567621,-2.000130,0.567576,-2.000127,0.567558,0.925969,0.780498,87.959149,0.830784,180,1.186382,0.842899,0.981521
181,0.569429,-2.012168,0.500436,-2.012178,0.500450,0.918884,0.789022,87.231101,0.812958,181,1.164586,0.858674,0.979934
182,0.552854,-2.027019,0.438521,-2.026973,0.438380,0.860731,0.817811,70.410348,0.745934,182,1.052481,0.950136,0.971070
183,0.517989,-2.039943,0.379669,-2.039951,0.379684,0.868899,0.759035,9.207518,0.763866,183,1.144741,0.873560,0.973851
184,0.479044,-2.052838,0.332219,-2.052868,0.332244,0.921931,0.661588,1.218961,0.688380,184,1.393513,0.717611,0.963179
185,0.437573,-2.065545,0.294884,-2.065652,0.294881,0.989007,0.563328,0.389885,0.711168,185,1.755651,0.569589,0.972163
186,0.437411,-2.073018,0.292671,-2.072980,0.292710,1.001390,0.556155,179.343653,0.624971,186,1.800559,0.555383,0.958571
187,0.458737,-2.080924,0.314596,-2.080936,0.314567,0.942648,0.619619,178.872437,0.713759,187,1.521335,0.657317,0.967464
188,0.496848,-2.084167,0.359844,-2.084158,0.359772,0.875674,0.722422,177.234479,0.756854,188,1.212136,0.824990,0.970522
189,0.532454,-2.090059,0.415852,-2.090059,0.415852,0.827787,0.818981,130.302394,0.758276,189,1.010753,0.989362,0.974564
190,0.557235,-2.096286,0.472805,-2.096295,0.472790,0.890178,0.797025,88.240738,0.771086,190,1.116875,0.895356,0.978467
191,0.571840,-2.102116,0.533695,-2.102109,0.533731,0.938199,0.776049,88.549819,0.726596,191,1.208943,0.827169,0.970818
192,0.583848,-2.107852,0.584925,-2.107847,0.584946,0.979349,0.759054,88.987795,0.613795,192,1.290223,0.775060,0.951618
193,0.566647,-2.113567,0.647721,-2.113567,0.647721,0.941195,0.766555,89.486239,0.841045,193,1.227825,0.814448,0.983543
194,0.546804,-2.120499,0.698829,-2.120499,0.698811,0.894962,0.777924,89.553787,0.830644,194,1.150449,0.869226,0.982485
195,0.526590,-2.126935,0.741832,-2.126935,0.741832,0.842236,0.796065,93.122999,0.827289,195,1.057999,0.945180,0.981189
196,0.507279,-2.133140,0.781111,-2.133141,0.781093,0.824368,0.783495,174.062649,0.856016,196,1.052168,0.950419,0.983285
197,0.495503,-2.138850,0.812159,-2.138850,0.812159,0.844151,0.747371,176.721895,0.868535,197,1.129494,0.885352,0.984864
198,0.506074,-2.141849,0.848369,-2.141849,0.848369,0.839230,0.767791,178.085042,0.834769,198,1.093046,0.914875,0.982560
199,0.528444,-2.143940,0.881408,-2.143957,0.881412,0.824119,0.816430,52.510777,0.890782,199,1.009418,0.990670,0.984900
200,0.548218,-2.146454,0.911871,-2.146454,0.911871,0.878747,0.794327,86.804435,0.866988,200,1.106278,0.903932,0.985272
201,0.564120,-2.149010,0.934660,-2.149010,0.934660,0.931195,0.771332,88.493695,0.866829,201,1.207256,0.828325,0.986101
202,0.561501,-2.151476,0.957862,-2.151476,0.957862,0.934258,0.765233,89.127502,0.858710,202,1.220880,0.819081,0.985656
203,0.544370,-2.154416,0.981037,-2.154416,0.981037,0.895537,0.773963,88.895139,0.874977,203,1.157080,0.864244,0.987054
204,0.525222,-2.158188,1.003709,-2.158188,1.003709,0.845049,0.791354,89.956212,0.844371,204,1.067852,0.936459,0.984317
205,0.504660,-2.160427,1.018501,-2.160427,1.018501,0.819169,0.784396,176.827991,0.880738,205,1.044331,0.957551,0.985313
206,0.494205,-2.161959,1.028760,-2.161959,1.028760,0.842664,0.746728,179.062915,0.870236,206,1.128475,0.886152,0.986260
207,0.505518,-2.161424,1.041312,-2.161424,1.041312,0.835717,0.770171,1.803117,0.861621,207,1.085106,0.921569,0.984359
208,0.523159,-2.159609,1.056170,-2.159609,1.056170,0.821625,0.810718,33.373968,0.884769,208,1.013454,0.986724,0.985911
209,0.542909,-2.158317,1.065550,-2.158317,1.065550,0.873362,0.791486,84.728603,0.866949,209,1.103445,0.906253,0.985690
210,0.556308,-2.156542,1.068618,-2.156542,1.068618,0.920289,0.769664,88.471726,0.864738,210,1.195702,0.836328,0.985848
211,0.554268,-2.155062,1.071086,-2.155062,1.071086,0.924469,0.763374,89.133809,0.842550,211,1.211030,0.825743,0.985167
212,0.539965,-2.154340,1.075024,-2.154340,1.075024,0.892834,0.770026,89.581456,0.868198,212,1.159485,0.862452,0.985301
213,0.521791,-2.153247,1.079218,-2.153247,1.079218,0.840739,0.790216,89.197355,0.876565,213,1.063936,0.939906,0.985681
214,0.505193,-2.150473,1.076052,-2.150473,1.076052,0.820682,0.783777,0.657726,0.873100,214,1.047085,0.955032,0.985017
215,0.494506,-2.148763,1.068803,-2.148763,1.068803,0.839838,0.749699,1.164720,0.838765,215,1.120234,0.892671,0.984902
216,0.503199,-2.144035,1.061403,-2.144035,1.061403,0.835911,0.766462,2.980551,0.855891,216,1.090610,0.916918,0.983931
217,0.519426,-2.138955,1.058010,-2.138955,1.058010,0.821519,0.805038,42.189718,0.874395,217,1.020473,0.979938,0.986419
218,0.538852,-2.132786,1.049329,-2.132786,1.049329,0.871458,0.787287,84.460806,0.881000,218,1.106913,0.903414,0.987112
219,0.552669,-2.126948,1.036435,-2.126948,1.036435,0.918014,0.766524,87.716973,0.872281,219,1.197633,0.834980,0.986551
220,0.550119,-2.120771,1.019518,-2.120771,1.019518,0.921819,0.759838,89.158146,0.861649,220,1.213178,0.824281,0.986551
221,0.537763,-2.115288,1.002156,-2.115288,1.002156,0.890894,0.768555,89.771154,0.858016,221,1.159180,0.862679,0.986058
222,0.521930,-2.109314,0.986777,-2.109314,0.986777,0.840682,0.790479,87.303664,0.863114,222,1.063510,0.940283,0.985490
223,0.503895,-2.103335,0.967730,-2.103335,0.967730,0.818920,0.783445,3.642458,0.871612,223,1.045280,0.956681,0.984532
224,0.497497,-2.095417,0.942829,-2.095417,0.942829,0.841789,0.752484,2.857629,0.870824,224,1.118680,0.893911,0.985580
225,0.504104,-2.087884,0.914874,-2.087884,0.914874,0.835523,0.768195,5.053218,0.859211,225,1.087644,0.919419,0.984583
226,0.521351,-2.076909,0.890083,-2.076909,0.890083,0.823727,0.805854,35.970164,0.892124,226,1.022178,0.978303,0.986252
227,0.538528,-2.067938,0.862589,-2.067938,0.862589,0.868290,0.789684,83.276511,0.871883,227,1.099541,0.909470,0.985868
228,0.549840,-2.058353,0.830121,-2.058353,0.830121,0.912374,0.767315,88.045327,0.865369,228,1.189048,0.841009,0.986258
229,0.548705,-2.048448,0.792620,-2.048448,0.792620,0.919034,0.760182,89.282631,0.874871,229,1.208966,0.827153,0.987381
