 ,Area,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
230,0.135,0.82,0.361,0.419,0.411,173.377,0.431,230,1.019,0.981,0.943
231,0.136,0.822,0.363,0.419,0.414,160.938,0.363,231,1.01,0.99,0.939
232,0.136,0.823,0.364,0.419,0.415,142.91,0.37,232,1.01,0.99,0.942
233,0.137,0.825,0.364,0.418,0.417,127.025,0.365,233,1.002,0.998,0.946
234,0.136,0.826,0.362,0.42,0.413,5.042,0.353,234,1.015,0.985,0.948
235,0.136,0.827,0.36,0.42,0.412,5.242,0.311,235,1.02,0.981,0.939
236,0.136,0.828,0.361,0.42,0.411,3.201,0.351,236,1.023,0.977,0.939
237,0.135,0.829,0.363,0.42,0.411,5.797,0.377,237,1.022,0.978,0.944
238,0.136,0.83,0.363,0.42,0.412,11.813,0.375,238,1.019,0.982,0.941
239,0.136,0.831,0.366,0.419,0.415,3.464,0.354,239,1.011,0.989,0.942
240,0.137,0.831,0.365,0.419,0.416,13.723,0.342,240,1.006,0.994,0.936
241,0.137,0.829,0.364,0.421,0.413,3.716,0.41,241,1.02,0.98,0.945
242,0.136,0.83,0.362,0.421,0.41,176.314,0.356,242,1.027,0.973,0.94
